Country Name,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,2584787089.00 ,2041925750.00 ,1550770359.00 ,1282047375.00 ,1077626368.00 ,1134866312.00 ,1058199324.00 ,1008057878.00 ,1207177356.00 ,1367849984.00 ,1450338896.00 ,1770503185.00 ,2031583387.00 ,2353596018.00 ,2369657789.00 ,2558989813.00 ,3174755576.00 ,4023525566.00 ,4278506800.00 ,4780902037.00 ,5033276530.00 ,4911746801.00 ,3970691176.00 ,3598080793.00 
Albania,ALB,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,26072789.31 ,29789904.28 ,104452804.40 ,87483896.68 ,92107300.03 ,93634601.07 ,51636121.05 ,61031459.36 ,69678219.01 ,76817337.47 ,85224793.70 ,95492587.73 ,117135413.50 ,234576541.60 ,262877199.30 ,296196613.60 ,335807765.80 ,381603563.50 ,467942892.70 ,543509533.70 ,2390897414.00 ,4360799057.00 ,4768164339.00 ,4620616152.00 
Albania,ALB,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,18477467857.00 ,18124438972.00 ,15719257355.00 ,13588147348.00 ,13890458876.00 ,14074729467.00 ,14448605058.00 ,14562327707.00 ,14561592980.00 ,14432442853.00 ,14201071075.00 ,13747355223.00 ,13783051042.00 ,13592234460.00 ,14029611771.00 ,14170736749.00 ,14703913186.00 ,15386360876.00 ,16655326510.00 ,17398583465.00 ,19812931222.00 ,22027627080.00 ,22598727304.00 ,22027910555.00 
Albania,ALB,Net foreign assets (constant 2018 US$),NW.NFA.TO,(237069903.20),(138784538.40),(420919237.40),(453107835.30),(372372658.50),(997312771.50),(869703045.90),(913053163.10),(1407806530.00),(1029536816.00),(1626891160.00),(1625642551.00),(2232557416.00),(3070640888.00),(4164786239.00),(4214721546.00),(5488282709.00),(5662963941.00),(4876322017.00),(5269318556.00),(5794897565.00),(6077543229.00),(7304657493.00),(7482770000.00)
Albania,ALB,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,(74.37),(43.81),(133.70),(144.83),(119.78),(322.86),(284.20),(299.26),(463.15),(340.12),(540.23),(543.23),(751.70),(1041.84),(1422.63),(1446.86),(1889.13),(1952.48),(1684.34),(1823.86),(2011.63),(2113.12),(2542.11),(2610.53)
Albania,ALB,Produced capital (constant 2018 US$),NW.PCA.TO,49499963823.00 ,50161444853.00 ,49972131103.00 ,49857020714.00 ,50095331330.00 ,50935515727.00 ,52236489242.00 ,53595781642.00 ,55112827013.00 ,56961189793.00 ,59043350651.00 ,61387958882.00 ,63865551148.00 ,66465189245.00 ,69005977900.00 ,71081458376.00 ,73337116215.00 ,75142604084.00 ,76794180989.00 ,78184502088.00 ,79664143354.00 ,81229070758.00 ,83056214104.00 ,84779198625.00 
Albania,ALB,Produced capital per capita (constant 2018 US$),NW.PCA.PC,15528.02 ,15833.62 ,15872.83 ,15936.25 ,16114.16 ,16489.18 ,17069.78 ,17566.57 ,18131.51 ,18818.08 ,19606.05 ,20513.62 ,21503.43 ,22551.11 ,23571.49 ,24401.29 ,25243.44 ,25907.66 ,26525.64 ,27061.85 ,27654.41 ,28242.77 ,28904.63 ,29577.14 
Albania,ALB,Total wealth (constant 2018 US$),NW.TOW.TO,116000000000.00 ,114000000000.00 ,104000000000.00 ,103000000000.00 ,107000000000.00 ,109000000000.00 ,115000000000.00 ,117000000000.00 ,122000000000.00 ,124000000000.00 ,128000000000.00 ,132000000000.00 ,138000000000.00 ,143000000000.00 ,148000000000.00 ,152000000000.00 ,155000000000.00 ,160000000000.00 ,165000000000.00 ,168000000000.00 ,173000000000.00 ,178000000000.00 ,180000000000.00 ,184000000000.00 
Albania,ALB,Total wealth per capita (constant 2018 US$),NW.TOW.PC,36241.08 ,35920.11 ,33045.25 ,32957.86 ,34394.28 ,35214.82 ,37424.76 ,38286.48 ,39998.73 ,40979.35 ,42359.41 ,44214.73 ,46354.67 ,48672.73 ,50535.98 ,52272.75 ,53327.86 ,55170.29 ,56936.12 ,58144.25 ,59994.72 ,61918.23 ,62799.24 ,64335.20 
Armenia,ARM,Human capital (constant 2018 US$),NW.HCA.TO,31162180567.00 ,32446809421.00 ,32562110893.00 ,35586495233.00 ,35852007081.00 ,36048138201.00 ,40542852801.00 ,42916804538.00 ,48169633479.00 ,53747162358.00 ,57398808187.00 ,63797827265.00 ,70864265546.00 ,71420229691.00 ,57953798679.00 ,60834929642.00 ,67294780252.00 ,70261394408.00 ,72147699696.00 ,73201068526.00 ,80113388040.00 ,76522388252.00 ,81504751657.00 ,84936407008.00 
Armenia,ARM,Human capital per capita (constant 2018 US$),NW.HCA.PC,9685.67 ,10241.33 ,10392.97 ,11447.44 ,11606.26 ,11743.63 ,13289.75 ,14145.39 ,15961.14 ,17911.42 ,19253.15 ,21565.65 ,24164.17 ,24563.14 ,20066.47 ,21142.92 ,23394.37 ,24360.55 ,24899.26 ,25134.25 ,27384.02 ,26062.19 ,27677.43 ,28774.68 
